title1,title2,similarity
써니 : Sunny NEOIN CORP,써니 : Sunny,0
써니 : Sunny NEOIN CORP,써니,0
SweetBeauty,Sweet Beauty,0
SweetBeauty,스위트뷰티,0
AMULETO,아무렛드 : AMOURETTE,0
GIREY NAMI,Nami,0
GIREY NAMI,라미,0
GIREY NAMI,LAMY,0
해적 : HAEZUK,해적 : HAEJUK,0
건목차(건목차) 음양오행 체질분석,음양오행,0
임펙트 : IMPACT,IMPACT CT,0
라미르 : LaMir,La Mer,0
CMC건설사업관리,CMC스터디닥터스쿨,0
SHELLTIDE,SHELL,0
다빈치파이어 For KAKAO,다빈치체험과학교실 : DAVINCI'S SCIENCE AND CRAFT SCHOOL,0
선단 돌솥설렁탕 : S,선단 선단,0
참 스프 앤 스탁,soup stock,0
CORESENSE,CORECESS,0
잉카 : INCA,잉카바베큐치킨,0
고래섬,고래성 : GORAESUNG,0
미초 드림 : DREAM,미드림,0
모내기,MONEIGE,0
블랙홀 : BLACK HOLE,블랙홀,0
아나핀 : ANAPIN,아나펜,0
금강마이크로,주식회사금강 : KEUMKANG LIMITED,0
금강마이크로,금강화이바보드,0
금강마이크로,금강고려화학,0
통큰세제,통큰,0
통큰세제,롯데마트 통큰,0
통큰세제,통큰,0
퀀텀 솔루션스,이종두 양자에너지 : Quantum Energy Jong Doo Lee,0
퀀텀 솔루션스,양자에너지 : Quantum Energy,0
금강마이크로,금강고려화학,0
슈슈 드보,슈슈 : Chou CHou,0
KOPE,KOPEC,0
라미르 : LaMir,LA MER RADIANT WATERS,0
COFFEE CABANA,카보나 : Cabona,0
S ON AIR,On Air,0
왜 안돼? : Why not?,KYOWON WHYnot,0
라미르 : LaMir,LA MER OXYGENATING WATERS,0
다빈치파이어 For KAKAO,FIRE,0
다빈치파이어 For KAKAO,FIRE,0
다빈치파이어 For KAKAO,KAKAO TALK,0
leghila,레길라,0
HANA VIP,Hanafree,0
HANA VIP,Hanahoneymoon,0
HANA VIP,하나크루즈,0
HANA VIP,하나허니문,0
HANA VIP,하나팩,0
HANA VIP,Hanacruise,0
HANA VIP,하나프리,0
HANA VIP,Hanagolf,0
HANA VIP,하나골프,0
HANA VIP,Hanapack,0
케이티이엔지,KT&G,0
HANA VIP,하나투어 볼런투어 : HNT,0
HANA VIP,Hanafly,0
HANA VIP,하나플라이,0
케이티이엔지,KT&G,0
J&R,주식회사 제이엔알쓰리디 : JNR3D,0
X-LITE,XLITE LEGEND-IST,0
M MERLION PINK,TEAM PINK86,0
스마트오더 : NFC,SMARTORDER,0
참뜨레,참드레 : So fresh,0
스마트오더 : NFC,SMARTORDER,0
스마트오더 : NFC,BC SMARTORDER,0
스마트오더 : NFC,스마트오더 : BC,0
스마트오더 : NFC,스마트오더,0
슈슈 드보,Lily chou chou,0
스마트오더 : NFC,스마트오더 : BC,0
스마트카페 : NFC,SmartCafe24,0
슈슈 드보,CHOUCHOU BOX,0
S ON AIR,온에어 : ON AIR,0
왜 안돼? : Why not?,KYOWON WHYnot,0
스마트카페 : NFC,스마트카페24,0
통큰세제,롯데 통큰,0
NEUROGENESIS HAPPY WATER,HP Our Happy Water,0
통큰세제,통큰,0
통큰세제,롯데마트 통큰,0
이지밀토로미 : Easy Meal Toromi,토로미퍼펙트,0
퀀텀 솔루션스,이종두 양자에너지 : Quantum Energy Jong Doo Lee,0
라미르 : LaMir,LA MER,0
라미르 : LaMir,라 메르 : LA MER,0
퀀텀 솔루션스,양자에너지 : Quantum Energy,0
라미르 : LaMir,BAUME DE LA MER,0
라미르 : LaMir,라 메르 : LA MER,0
라미르 : LaMir,CREME DE LA MER,0
Safe-Keeper,AIROU,1
castic,i:ru,1
말표 은하수 태화고무,아이루,1
power sports & fitness,i:ru,1
아남특수시계,아이루,1
아남특수시계,AIROU,1
ABISSINICA oh my cafe,iROO,1
ABISSINICA oh my cafe,AIROU,1
모두락 모두락,PRIVE the party house,1
Mango,ONEUL,1
MOANA,ONEUL,1
감성카페 피우다,ONEL,1
북막골,ONEUL,1
감성카페 피우다,화선,1
취업플래너,화선,1
